He is fond of saying, "I'll blow away anyone I don't like."	way of saying
The police car lost sight of the wagon on the street about 600 meters away, but later found the wagon after it had collided with a cab.	Found by.
Businessmen and middle-aged people are the mainstream customers, and the addition of alcoholic beverages to the product line has been well received.	It has been well received.
The Japan Meteorological Agency is urging people to be on high alert for landslides, river flooding, and inundation damage.	Strict
Their use of those apps is an attempt to validate their existence by getting affirmation from their friends.	experiment
Parents and guardians need to properly monitor their children's Internet use to prevent their children from becoming victims.	Watch over me.
On the slope, strangely enough, there is no hustle and bustle of festivals, and the time is quiet and peaceful.	Calm
In France, a slightly smaller type of bread is widely preferred compared to Japanese bread.	preferred
Masuda went up and sat cross-legged beside the couple.	cross-legged
TUAH has the role of treating patients with emergency or serious conditions.	carry on shoulder
It is thought to come from fear of real or imagined dangers of not being able to see things in the dark.	fear
He explains that it is "the sense that we are part of something great and powerful."	sense
First, the guarantor, the manager, took the following actions in line with the conditions indicated in the guidelines.	in line with
However, the sidewalks are uneven, crowded, and not suitable for two-wheeled vehicle travel.	Not suitable for.
A number of other various observations must be made and a comprehensive judgment must be made.	one is forced to make a judgment
Biya has been criticized by some for taking a hard-line stance against opponents and is often accused of being supercilious toward the public.	be nonchalant
As the owner of a pet, he or she is responsible for the pet's life and must be responsible for it until it ends.	used to express emotional involvement
Many people actively participate in the program, and the staff is there to share the place with those who are more anxious.	scene (of a play, movie, etc.)
From this point on, the members of the theft ring were rounded up like a sack of potatoes.	Arrested.
It is clear that he intentionally made false statements in order to conceal the ¥400 million.	untrue
In the past, travelers would have relieved themselves from the fatigue of their journeys with the specialty sweets.	Healing.
The acupressurist was a well-built woman around twenty, wearing black slacks and a clean white blouse.	Clean.
At first, he thought it was a little too masculine, but the director told him, "I like it! and so he put a lot of punching motion into the film.	sound of large bell
While video productions featuring the host country team are actively made for domestic use, neutrality is emphasized in international video productions.	neutrality
Scam calls can be made to anyone.	Possible.
The origin of soy sauce dates back to the far medieval times, when a Zen monk who traveled to China to undergo ascetic training introduced a special type of miso.	Zen priest
